game,word,won,wrong_guesses,repeated_guesses,word_length
1,untransacted,False,6,0,12
2,hurdis,False,6,0,6
3,popshop,False,6,0,7
4,roquelaure,False,6,0,10
5,bavian,False,6,0,6
6,chili,False,6,0,5
7,indices,False,6,0,7
8,bandboxical,False,6,0,11
9,uncapably,False,6,0,9
10,uncuffed,False,6,0,8
11,suggestibly,False,6,0,11
12,submedian,False,6,0,9
13,underchancellor,False,6,0,15
14,cumbu,False,6,0,5
15,trapping,False,6,0,8
16,leanness,False,6,0,8
17,orakzai,False,6,0,7
18,expellee,False,6,0,8
19,pronunciative,False,6,0,13
20,utriculoplastic,False,6,0,15
21,unvoyaging,False,6,0,10
22,arctogaeal,False,6,0,10
23,squabbed,False,6,0,8
24,barehanded,False,6,0,10
25,disglorify,False,6,0,10
26,ermani,False,6,0,6
27,manumission,False,6,0,11
28,toxicological,False,6,0,13
29,linet,False,6,0,5
30,unquit,False,6,0,6
31,stanley,False,6,0,7
32,antitype,False,6,0,8
33,counterirritate,False,6,0,15
34,apollonia,False,6,0,9
35,semioxidated,False,6,0,12
36,astrocaryum,False,6,0,11
37,unmountainous,False,6,0,13
38,anthelion,False,6,0,9
39,olympicness,False,6,0,11
40,plaitless,False,6,0,9
41,untruck,False,6,0,7
42,seronegative,False,6,0,12
43,bichromate,False,6,0,10
44,neuropsychological,False,6,0,18
45,ipseity,False,6,0,7
46,pixilated,False,6,0,9
47,tyronism,False,6,0,8
48,overchidden,False,6,0,11
49,reservor,False,6,0,8
50,newslessness,False,6,0,12
51,cyanoacetate,False,6,0,12
52,tibet,False,6,0,5
53,oratory,False,6,0,7
54,sufferableness,False,6,0,14
55,coimplicant,False,6,0,11
56,coumarate,False,6,0,9
57,underlife,False,6,0,9
58,prediscoverer,False,6,0,13
59,entosphere,False,6,0,10
60,nebularization,False,6,0,14
61,mayfowl,False,6,0,7
62,tolstoyist,False,6,0,10
63,rerise,False,6,0,6
64,larithmics,False,6,0,10
65,northupite,False,6,0,10
66,disroof,False,6,0,7
67,porencephalon,False,6,0,13
68,orakzai,False,6,0,7
69,bemole,False,6,0,6
70,sulfarsenite,False,6,0,12
71,undernatural,False,6,0,12
72,bleakly,False,6,0,7
73,rondeau,False,6,0,7
74,cannibality,False,6,0,11
75,anthelion,False,6,0,9
76,rhythmless,False,6,0,10
77,pothook,False,6,0,7
78,platypodia,False,6,0,10
79,gitoxin,False,6,0,7
80,tubik,False,6,0,5
81,ipsilateral,False,6,0,11
82,banderole,False,6,0,9
83,nutritional,False,6,0,11
84,cordeliere,False,6,0,10
85,sclerification,False,6,0,14
86,anchises,False,6,0,8
87,unilabiate,False,6,0,10
88,cingular,False,6,0,8
89,dressmakery,False,6,0,11
90,barrow,False,6,0,6
91,cephalanthous,False,6,0,13
92,backcourt,False,6,0,9
93,reproductive,False,6,0,12
94,copter,False,6,0,6
95,sabazianism,False,6,0,11
96,archeion,False,6,0,8
97,glossotherium,False,6,0,13
98,continuingly,False,6,0,12
99,uncaptained,False,6,0,11
100,pretervection,False,6,0,13
101,spitted,False,6,0,7
102,dactylioglyphtic,False,6,0,16
103,polycormic,False,6,0,10
104,ectoblast,False,6,0,9
105,spotting,False,6,0,8
106,unpricked,False,6,0,9
107,reassessment,False,6,0,12
108,burfish,False,6,0,7
109,ironsided,False,6,0,9
110,ornithogaea,False,6,0,11
111,juxtatropical,False,6,0,13
112,semology,False,6,0,8
113,notewise,False,6,0,8
114,diamondwise,False,6,0,11
115,nictitation,False,6,0,11
116,pettedness,False,6,0,10
117,periconchitis,False,6,0,13
118,reticello,False,6,0,9
119,prolongably,False,6,0,11
120,danielle,False,6,0,8
121,thoughtlessly,False,6,0,13
122,bronchiectatic,False,6,0,14
123,disestimation,False,6,0,13
124,fifteenfold,False,6,0,11
125,inobnoxious,False,6,0,11
126,cholecystenterorrhaphy,False,6,0,22
127,pecky,False,6,0,5
128,roughness,False,6,0,9
129,nitrolime,False,6,0,9
130,nemertini,False,6,0,9
131,ovarin,False,6,0,6
132,stakemaster,False,6,0,11
133,unfastidiously,False,6,0,14
134,janet,False,6,0,5
135,pinacoceras,False,6,0,11
136,umbrosity,False,6,0,9
137,anathematization,False,6,0,16
138,cozily,False,6,0,6
139,pewmate,False,6,0,7
140,liquorless,False,6,0,10
141,corps,False,6,0,5
142,nongremial,False,6,0,10
143,autoallogamy,False,6,0,12
144,figshell,False,6,0,8
145,tipsy,False,6,0,5
146,cheka,False,6,0,5
147,zonary,False,6,0,6
148,aberration,False,6,0,10
149,coumarate,False,6,0,9
150,ismal,False,6,0,5
151,untrickable,False,6,0,11
152,graphis,False,6,0,7
153,unilabiate,False,6,0,10
154,rawhead,False,6,0,7
155,confervaceous,False,6,0,13
156,equational,False,6,0,10
157,gruelly,False,6,0,7
158,needleful,False,6,0,9
159,nonpromulgation,False,6,0,15
160,amueixa,False,6,0,7
161,timekeepership,False,6,0,14
162,unciliated,False,6,0,10
163,birminghamize,False,6,0,13
164,gup,False,6,0,3
165,superciliousness,False,6,0,16
166,polyclona,False,6,0,9
167,bushy,False,6,0,5
168,mugwumpism,False,6,0,10
169,typeset,False,6,0,7
170,darn,False,6,0,4
171,cacodaemonial,False,6,0,13
172,glossographer,False,6,0,13
173,beruffed,False,6,0,8
174,gasogenic,False,6,0,9
175,pampootee,False,6,0,9
176,underaverage,False,6,0,12
177,luxemburgian,False,6,0,12
178,pronunciative,False,6,0,13
179,cannibality,False,6,0,11
180,electrotitration,False,6,0,16
181,squark,False,6,0,6
182,nereid,False,6,0,6
183,submissively,False,6,0,12
184,delightingly,False,6,0,12
185,benzalacetone,False,6,0,13
186,linet,False,6,0,5
187,monogenist,False,6,0,10
188,harmlessly,False,6,0,10
189,schistosoma,False,6,0,11
190,retransformation,False,6,0,16
191,ichthyophobia,False,6,0,13
192,antiscale,False,6,0,9
193,marguerite,False,6,0,10
194,catarrhal,False,6,0,9
195,carbuncle,False,6,0,9
196,hadbot,False,6,0,6
197,northeaster,False,6,0,11
198,undertide,False,6,0,9
199,thokish,False,6,0,7
200,paulinia,False,6,0,8
201,orthodomatic,False,6,0,12
202,lipoferous,False,6,0,10
203,cyrtopia,False,6,0,8
204,pseudoaristocratic,False,6,0,18
205,overfed,False,6,0,7
206,disintegration,False,6,0,14
207,greengrocery,False,6,0,12
208,shucking,False,6,0,8
209,nonsanctification,False,6,0,17
210,multipersonal,False,6,0,13
211,rebegin,False,6,0,7
212,mahdist,False,6,0,7
213,evangelization,False,6,0,14
214,wineglassful,False,6,0,12
215,requiter,False,6,0,8
216,periorbit,False,6,0,9
217,unciliated,False,6,0,10
218,mask,False,6,0,4
219,cathartolinum,False,6,0,13
220,uncrystaled,False,6,0,11
221,darn,False,6,0,4
222,gamogenetical,False,6,0,13
223,unhesitatingly,False,6,0,14
224,heatlike,False,6,0,8
225,flaxseed,False,6,0,8
226,anaspidacea,False,6,0,11
227,underdot,False,6,0,8
228,istiophorid,False,6,0,11
229,megalopic,False,6,0,9
230,accumulation,False,6,0,12
231,ciliotomy,False,6,0,9
232,peonage,False,6,0,7
233,mayfowl,False,6,0,7
